date,oven_id,layer_id,accumulation_hour
2022-05-04,2.0,1,4796
2022-05-19,2.0,1,5076
2022-06-02,2.0,1,5322
2022-06-14,2.0,1,5518
2022-06-30,2.0,1,5764
2022-07-30,2.0,1,6168
2022-08-15,2.0,1,6290
2022-09-01,2.0,1,6443
2022-09-26,2.0,1,6765
2022-09-28,2.0,1,6789
2022-10-14,2.0,1,6966
2022-10-31,2.0,1,7209
2022-11-16,2.0,1,7375
2022-11-28,2.0,1,7573
2022-12-11,2.0,1,7768
2022-12-28,2.0,1,8084
2023-01-07,2.0,1,8238
2023-02-06,2.0,1,8713
2022-05-04,2.0,2,4786
2022-05-19,2.0,2,5060
2022-06-02,2.0,2,5301
2022-06-30,2.0,2,5762
2022-07-07,2.0,2,5829
2022-07-30,2.0,2,6153
2022-08-15,2.0,2,6271
2022-09-01,2.0,2,6404
2022-09-05,2.0,2,6438
2022-09-28,2.0,2,6752
2022-10-05,2.0,2,6795
2022-10-31,2.0,2,7156
2022-11-25,2.0,2,7458
2022-11-28,2.0,2,7498
2022-12-05,2.0,2,7513
2022-12-28,2.0,2,7921
2023-01-04,2.0,2,7921
2023-01-18,2.0,2,8196
2023-02-06,2.0,2,8498
2022-05-04,2.0,3,0
2022-06-02,2.0,3,829
2022-06-30,2.0,3,829
2022-07-30,2.0,3,829
2022-08-15,2.0,3,829
2022-09-01,2.0,3,100
2022-09-28,2.0,3,269
2022-10-31,2.0,3,366
2022-11-28,2.0,3,632
2022-12-28,2.0,3,825
2023-01-12,2.0,3,891
2023-01-27,2.0,3,1087
2023-02-06,2.0,3,1304
2022-02-17,2.0,4,3421
2022-03-31,2.0,4,3970
2022-05-04,2.0,4,4540
2022-06-02,2.0,4,5057
2022-06-30,2.0,4,5520
2022-07-30,2.0,4,5919
2022-08-15,2.0,4,6042
2022-08-30,2.0,4,6149
2022-09-01,2.0,4,6151
2022-09-28,2.0,4,6520
2022-10-31,2.0,4,6967
2022-11-18,2.0,4,8490
2022-11-28,2.0,4,7298
