date,oven_id,layer_id,accumulation_hour
2022-03-31,2D0,1,4899
2022-05-04,2D0,1,5589
2022-05-31,2D0,1,6113
2022-06-02,2D0,1,6151
2022-06-30,2D0,1,6678
2022-07-30,2D0,1,7135
2022-08-15,2D0,1,7297
2022-08-30,2D0,1,7455
2022-09-01,2D0,1,7464
2022-09-28,2D0,1,7910
2022-10-10,2D0,1,7934
2022-10-13,2D0,1,8140
2022-10-31,2D0,1,8411
2022-11-02,2D0,1,8411
2022-11-21,2D0,1,8666
2022-11-28,2D0,1,8800
2022-12-17,2D0,1,9115
2022-12-28,2D0,1,9356
2023-01-07,2D0,1,9519
2023-01-24,2D0,1,9800
2023-02-06,2D0,1,9989
2022-04-26,2D0,2,5419
2022-05-04,2D0,2,5548
2022-06-02,2D0,2,6125
2022-06-30,2D0,2,6660
2022-07-30,2D0,2,7117
2022-08-15,2D0,2,7249
2022-09-01,2D0,2,7441
2022-09-28,2D0,2,7879
2022-10-11,2D0,2,8072
2022-10-31,2D0,2,8371
2022-11-09,2D0,2,8431
2022-11-28,2D0,2,8764
2022-12-14,2D0,2,8987
2022-12-23,2D0,2,9128
2022-12-28,2D0,2,9260
2023-01-04,2D0,2,9320
2023-01-21,2D0,2,9629
2023-02-06,2D0,2,9861
2022-05-04,2D0,3,5546
2022-06-02,2D0,3,6122
2022-06-30,2D0,3,6638
2022-07-30,2D0,3,7090
2022-08-15,2D0,3,7247
2022-09-01,2D0,3,7429
2022-09-28,2D0,3,7863
2022-10-05,2D0,3,7985
2022-10-31,2D0,3,8384
2022-11-09,2D0,3,8465
2022-11-28,2D0,3,8798
2022-12-09,2D0,3,8937
2022-12-28,2D0,3,9328
2023-01-04,2D0,3,9329
2023-01-21,2D0,3,9649
2023-01-24,2D0,3,9673
2023-02-01,2D0,3,9764
2023-02-06,2D0,3,9825
2022-02-19,2D0,4,3664
2022-04-20,2D0,4,5228
2022-05-04,2D0,4,5483
2022-06-02,2D0,4,6052
2022-06-08,2D0,4,6129
2022-06-30,2D0,4,6546
2022-07-30,2D0,4,7003
2022-08-15,2D0,4,7157
2022-09-01,2D0,4,7347
2022-09-12,2D0,4,7464
2022-09-28,2D0,4,7734
2022-10-10,2D0,4,6954
2022-10-19,2D0,4,8001
2022-10-31,2D0,4,8186
2022-11-16,2D0,4,8377
2022-11-28,2D0,4,8608
2022-12-05,2D0,4,8610
2022-12-26,2D0,4,8920
2022-12-28,2D0,4,8977
2023-02-06,2D0,4,9658
