date,oven_id,layer_id,accumulation_hour
2022-05-04,1G0,1,4230
2022-05-15,1G0,1,4375
2022-06-02,1G0,1,4600
2022-06-30,1G0,1,4864
2022-07-01,1G0,1,4864
2022-07-30,1G0,1,5065
2022-08-15,1G0,1,5148
2022-09-01,1G0,1,5168
2022-05-04,1G0,2,4078
2022-05-15,1G0,2,4219
2022-06-02,1G0,2,4438
2022-06-30,1G0,2,4709
2022-07-01,1G0,2,4709
2022-07-30,1G0,2,4910
2022-08-15,1G0,2,4986
2022-09-01,1G0,2,5007
2022-05-04,1G0,3,3877
2022-06-02,1G0,3,4247
2022-06-30,1G0,3,4601
2022-07-30,1G0,3,4797
2022-08-15,1G0,3,4875
2022-09-01,1G0,3,4895
2022-05-04,1G0,4,3696
2022-06-02,1G0,4,4058
2022-06-30,1G0,4,4415
2022-07-30,1G0,4,4608
2022-08-15,1G0,4,4685
2022-09-01,1G0,4,4707
2022-05-04,1G0,5,3453
2022-06-02,1G0,5,3808
2022-06-30,1G0,5,4156
2022-07-30,1G0,5,4349
2022-08-15,1G0,5,4424
2022-09-01,1G0,5,4446
2022-05-04,1G0,6,3239
2022-06-02,1G0,6,3570
2022-06-30,1G0,6,3908
2022-07-30,1G0,6,4091
2022-08-15,1G0,6,4168
2022-09-01,1G0,6,4187
2022-05-04,1G0,7,2934
2022-05-06,1G0,7,6141
2022-06-02,1G0,7,3261
2022-06-30,1G0,7,3594
2022-07-30,1G0,7,3773
2022-08-15,1G0,7,3844
2022-09-01,1G0,7,3861
2022-05-04,1G0,8,2682
2022-06-02,1G0,8,2977
2022-06-30,1G0,8,3303
2022-07-30,1G0,8,3476
2022-08-15,1G0,8,3543
2022-09-01,1G0,8,3555
2022-05-04,1G0,9,2370
2022-06-02,1G0,9,2647
2022-06-30,1G0,9,2959
2022-07-30,1G0,9,3119
2022-08-15,1G0,9,3183
2022-09-01,1G0,9,3196
2022-05-04,1G0,10,2074
2022-06-02,1G0,10,2329
2022-06-30,1G0,10,2619
2022-07-30,1G0,10,2772
2022-08-15,1G0,10,2831
2022-09-01,1G0,10,2838
2022-05-04,1G0,11,1863
2022-06-02,1G0,11,2099
2022-06-30,1G0,11,2386
2022-07-30,1G0,11,2531
2022-08-15,1G0,11,2593
2022-09-01,1G0,11,2596
2022-05-04,1G0,12,1576
2022-06-02,1G0,12,1766
2022-06-30,1G0,12,2017
2022-07-30,1G0,12,2147
2022-08-15,1G0,12,2200
2022-09-01,1G0,12,2204
2022-04-18,1G0,13,1189
2022-05-04,1G0,13,2170
2022-06-02,1G0,13,2296
2022-06-30,1G0,13,2320
2022-07-01,1G0,13,2320
2022-07-30,1G0,13,2399
2022-08-15,1G0,13,2443
2022-09-01,1G0,13,2447
2022-05-04,1G0,14,1164
2022-06-02,1G0,14,1293
2022-06-30,1G0,14,1526
2022-07-30,1G0,14,1630
2022-08-15,1G0,14,1675
2022-09-01,1G0,14,1678
2022-05-04,1G0,15,0
2022-06-02,1G0,15,144
2022-06-30,1G0,15,180
2022-07-30,1G0,15,235
2022-08-15,1G0,15,270
2022-09-01,1G0,15,271
2022-05-04,1G0,16,0
2022-06-02,1G0,16,135
2022-06-30,1G0,16,351
2022-07-30,1G0,16,427
2022-08-15,1G0,16,459
2022-09-01,1G0,16,460
2022-05-04,1G0,17,0
2022-06-02,1G0,17,125
2022-06-30,1G0,17,307
2022-07-30,1G0,17,377
2022-08-15,1G0,17,412
2022-09-01,1G0,17,412
2022-05-04,1G0,18,0
2022-06-02,1G0,18,121
2022-06-30,1G0,18,282
2022-07-30,1G0,18,346
2022-08-15,1G0,18,374
2022-09-01,1G0,18,374
2022-05-04,1G0,19,0
2022-06-02,1G0,19,771
2022-06-30,1G0,19,771
2022-07-30,1G0,19,771
2022-08-15,1G0,19,771
2022-09-01,1G0,19,771
