date,oven_id,layer_id,lamp_id,anomaly_accumulation_hour,anomaly_total_number
2022-02-17,2E0,4,13_72_75,3421,3
2022-03-04,2E0,9,8_76_104,3391,3
2022-03-15,2E0,5,13_72,3784,2
2022-03-15,2E0,8,13_54_58,3632,3
2022-03-21,2E0,10,13_27_28,3660,3
2022-03-28,2E0,5,92_113,3919,2
2022-03-31,2E0,4,57_77_110_112,3970,4
2022-04-07,2E0,7,13_70_73_92,3961,4
2022-04-07,2E0,11,6_13_41,3459,3
2022-04-29,2E0,12,13_33_34_35_36,3358,5
2022-05-04,2E0,13,13_81_85,3790,3
2022-05-09,2E0,5,37_39_41,4566,3
2022-05-09,2E0,14,13_91_93,3850,3
2022-05-11,2E0,6,13_17_28,4628,3
2022-05-19,2E0,1,13_50,5076,2
2022-05-19,2E0,2,13_68,5060,2
2022-05-20,2E0,9,68_74,4569,2
2022-05-28,2E0,7,6_11,4818,2
2022-06-14,2E0,1,68_92,5518,2
2022-06-14,2E0,7,113,5112,1
2022-06-27,2E0,9,116,5176,1
2022-06-28,2E0,8,56_59,5276,2
2022-06-28,2E0,16,13_74,3714,2
2022-07-07,2E0,2,86_120,5829,2
2022-07-07,2E0,11,4_107_113,4883,3
2022-07-23,2E0,17,85_89,4337,2
2022-08-08,2E0,13,55_68,4957,2
2022-08-08,2E0,19,13_74_117,4264,3
2022-08-13,2E0,18,57,5578,1
2022-08-19,2E0,7,80_111,5785,2
2022-08-27,2E0,9,103_120,5721,2
2022-08-30,2E0,4,70_72_59,6149,3
2022-09-05,2E0,2,13_70_109,6438,3
2022-09-05,2E0,7,92_100,5132,2
2022-09-05,2E0,8,79,5755,1
2022-09-05,2E0,12,10_12_34_36_67,4758,5
2022-09-12,2E0,5,6_8_111,6200,3
2022-09-12,2E0,14,45_78,5243,2
2022-09-12,2E0,19,118_120,4488,2
2022-09-23,2E0,13,40_49_72_122,5354,4
2022-09-23,2E0,15,13_15_32_75,5300,4
2022-09-26,2E0,1,13_19_90,6765,3
2022-10-05,2E0,2,76_114_119,6795,3
2022-10-05,2E0,5,81_90_117,6453,3
2022-10-05,2E0,7,58_87,6317,2
2022-10-05,2E0,11,7_109,5687,2
2022-10-13,2E0,9,23_80_118,6125,3
2022-10-14,2E0,1,14_76_79,6966,3
2022-10-14,2E0,8,60,6087,1
2022-10-14,2E0,12,10,5277,1
2022-10-20,2E0,8,58,6126,1
2022-10-20,2E0,17,13_25_109,5055,3
2022-10-31,2E0,7,80,6561,1
2022-10-31,2E0,9,66_74,6353,2
2022-10-31,2E0,11,74_119,5893,2
2022-11-02,2E0,14,13_100,6967,2
2022-11-02,2E0,15,42_78_113,6825,3
2022-11-09,2E0,10,21_115,6601,2
2022-11-11,2E0,8,57,6303,1
2022-11-11,2E0,11,64_68,6000,2
2022-11-16,2E0,1,10_39,7375,2
2022-11-17,2E0,7,41_85_100,6749,3
2022-11-18,2E0,4,90_100,8490,2
2022-11-18,2E0,7,65_113,8521,2
2022-11-18,2E0,15,40,6775,1
2022-11-21,2E0,10,25_26_27_28,6794,4
2022-11-25,2E0,2,66_67,7458,2
2022-11-28,2E0,4,35_75_80,7289,3
2022-12-05,2E0,2,62_102,7513,2
2022-12-05,2E0,4,13_41_76,7365,3
2022-12-05,2E0,5,13_49_56,7179,3
2022-12-05,2E0,11,102_117,6246,2
2022-12-05,2E0,16,37_73,5127,2
2022-12-09,2E0,7,9_13_108,7043,3
2022-12-11,2E0,1,64_81,7768,2
2022-12-11,2E0,13,30_95_97_119,6310,4
2022-12-11,2E0,15,30_57_59,6176,3
2022-12-11,2E0,16,90,5195,1
2022-12-14,2E0,9,9_85_106,6856,3
2022-12-17,2E0,6,27_31,7514,2
2022-12-17,2E0,7,36_75_98,7153,3
2022-12-19,2E0,8,57_58_59_60,6766,4
2022-12-21,2E0,4,35_68,7605,2
2022-12-21,2E0,5,24_45_120,7407,3
2022-12-21,2E0,11,13_28_43,6453,3
2022-12-21,2E0,12,35,6107,1
2022-12-21,2E0,13,40_80_85,6405,3
2022-12-26,2E0,4,41_74,7692,2
2022-12-26,2E0,10,13_64_113,7299,3
2022-12-26,2E0,18,13_65,5515,2
2022-12-27,2E0,8,66,6903,1
2022-12-27,2E0,9,43_107,7028,2
2023-01-04,2E0,2,6_115,7921,2
2023-01-04,2E0,5,4_113_119,7619,3
2023-01-04,2E0,6,13_25_41,7845,3
2023-01-04,2E0,8,106,6964,1
2023-01-04,2E0,12,33_36_62_82,6226,4
2023-01-04,2E0,16,29_31_58,5532,3
2023-01-07,2E0,1,1_16_89,8238,3
2023-01-11,2E0,4,18_59_64,7930,3
2023-01-11,2E0,7,21_37_65,7601,3
2023-01-11,2E0,8,26_77,7033,2
2023-01-11,2E0,9,33_38_113,7238,3
2023-01-12,2E0,3,20_30,891,2
2023-01-12,2E0,14,13_15_74_90,6835,4
2023-01-12,2E0,18,32_66_85,5838,3
2023-01-16,2E0,9,60_65,7309,2
2023-01-16,2E0,10,25_47_111,7699,3
2023-01-18,2E0,2,74_117,8196,2
2023-01-18,2E0,7,40_78_92,7723,3
2023-01-18,2E0,11,8_11_36,6988,3
2023-01-18,2E0,13,4_13_97,6926,3
2023-01-21,2E0,6,27_93_100,8139,3
2023-01-21,2E0,8,16_57,7210,2
2023-01-24,2E0,4,24_55_121,8128,3
2023-01-24,2E0,5,20_27_39,7938,3
2023-01-24,2E0,9,41_63_118_119,7408,4
2023-01-27,2E0,3,48_59,1087,2
2023-02-01,2E0,4,36_87_120,8177,3
2023-02-01,2E0,8,101,7269,1
2023-02-01,2E0,9,21_47,7470,2
