date,oven_id,layer_id,lamp_id,anomaly_accumulation_hour,anomaly_total_number
2022-01-17,2B0,6,28,2984,1
2022-01-17,2B0,7,29_36,3567,2
2022-02-03,2B0,7,58_78_121,3748,3
2022-02-17,2B0,1,29_79_62,4368,3
2022-02-17,2B0,8,29_83_117,4296,3
2022-02-17,2B0,9,15_29_41,4226,3
2022-02-17,2B0,11,29_84,3780,2
2022-02-17,2B0,16,29_56_94,3920,3
2022-02-17,2B0,19,27_29_74,4010,3
2022-02-19,2B0,15,69,2527,1
2022-02-27,2B0,13,29_55_77,3941,3
2022-03-04,2B0,10,29_74_107,4396,3
2022-03-07,2B0,14,49_117,4525,2
2022-03-15,2B0,6,6,4107,1
2022-03-15,2B0,17,48_51,4551,2
2022-03-21,2B0,1,30_86,4962,2
2022-03-26,2B0,17,117_4_29,4707,3
2022-03-31,2B0,11,51_82,4542,2
2022-04-01,2B0,16,29,4709,1
2022-04-03,2B0,16,33_96,4725,2
2022-04-03,2B0,18,26_29_56,4983,3
2022-04-07,2B0,8,54_118,5165,2
2022-04-07,2B0,12,34_92,4939,2
2022-04-07,2B0,14,29_51_85,5109,3
2022-04-09,2B0,3,1_29,5395,2
2022-04-14,2B0,4,18_29_115,5354,3
2022-04-20,2B0,12,66_77_75,5168,3
2022-04-24,2B0,9,67_72_60,5431,3
2022-04-26,2B0,2,18_111,5679,2
2022-04-29,2B0,19,25_78_80,5252,3
2022-05-02,2B0,3,2_113,5818,2
2022-05-06,2B0,6,8_15,5298,2
2022-05-06,2B0,11,1,5205,1
2022-05-09,2B0,11,13_49,5205,2
2022-05-11,2B0,14,28_29_51,5762,3
2022-05-13,2B0,8,97_115,5845,2
2022-05-18,2B0,9,13_41_43_69,5918,4
2022-05-23,2B0,2,29_64,6213,2
2022-05-23,2B0,3,43_111,6228,2
2022-05-23,2B0,10,76_103_105_109,5930,4
2022-05-23,2B0,15,79,4238,1
2022-05-26,2B0,5,34,6272,1
2022-06-01,2B0,2,74,6374,1
2022-06-07,2B0,1,12_64_76,6546,3
2022-06-07,2B0,4,30_89,6459,2
2022-06-07,2B0,12,28_31_34_36_60,6080,5
2022-06-07,2B0,13,58_86_96,5869,3
2022-06-07,2B0,15,86,4504,1
2022-06-08,2B0,5,51_77_49,6516,3
2022-06-08,2B0,11,73_87,5804,2
2022-06-09,2B0,4,31_37_119,6488,3
2022-06-09,2B0,19,42_44_103_105,6053,4
2022-06-11,2B0,7,29_30_49_85,6264,4
